Timestamp, 2021-09-24 12-09-31

Frequency (Hz), CH 1: PSD for Power 0.9dBm (dBm), CH 1: PSD for Power 0.8074dBm (dBm), CH 1: PSD for Power 0.8042dBm (dBm), CH 1: PSD for Power 0.8035dBm (dBm), CH 1: PSD for Power 0.8026dBm (dBm), CH 1: PSD for Power 0.8017dBm (dBm), CH 1: PSD for Power 0.8008dBm (dBm), CH 1: PSD for Power 0.7997dBm (dBm), CH 1: PSD for Power 0.7986dBm (dBm), CH 1: PSD for Power 0.7974dBm (dBm), CH 1: PSD for Power 0.7961dBm (dBm), CH 1: PSD for Power 0.7944dBm (dBm), CH 1: PSD for Power 0.8078dBm (dBm), CH 1: PSD for Power 0.7931dBm (dBm), CH 1: PSD for Power 0.7923dBm (dBm), CH 1: PSD for Power 0.7885dBm (dBm), CH 1: PSD for Power 0.786dBm (dBm), CH 1: PSD for Power 0.7839dBm (dBm), CH 1: PSD for Power 0.7796dBm (dBm), CH 1: PSD for Power 0.7746dBm (dBm), CH 1: PSD for Power 0.76dBm (dBm)
0.0, -66.83963012695312, -66.95174407958984, -66.94439697265625, -66.91252136230469, -66.8233871459961, -66.91302490234375, -66.86955261230469, -66.84156799316406, -66.86417388916016, -66.72801971435547, -66.75079345703125, -66.90687561035156, -66.8351058959961, -66.90882873535156, -66.83454895019531, -66.70175170898438, -66.74870300292969, -66.84147644042969, -66.82464599609375, -66.72420501708984, -66.7293472290039
50000.0, -74.81007385253906, -74.476806640625, -74.664306640625, -75.02470397949219, -74.387939453125, -74.47017669677734, -74.6087417602539, -74.13072967529297, -74.44537353515625, -74.68750762939453, -74.28584289550781, -74.5385513305664, -74.36724853515625, -75.07186889648438, -74.7641372680664, -74.89432525634766, -73.91500091552734, -74.37144470214844, -73.81393432617188, -74.14776611328125, -74.06929779052734
100000.0, -80.58489990234375, -80.60089111328125, -80.53316497802734, -80.68978881835938, -80.53023529052734, -80.53240203857422, -80.60546112060547, -80.00474548339844, -80.39008331298828, -80.66374969482422, -80.1580581665039, -80.36695861816406, -80.73515319824219, -80.87100219726562, -80.79945373535156, -80.77706146240234, -79.92411041259766, -79.92387390136719, -79.63846588134766, -79.79415130615234, -79.57969665527344
150000.0, -83.8724365234375, -84.25117492675781, -83.8974380493164, -83.93754577636719, -84.08573150634766, -83.99867248535156, -83.74898529052734, -83.65911865234375, -83.6444320678711, -83.60664367675781, -83.86376953125, -83.71185302734375, -84.31272888183594, -83.9857406616211, -83.98832702636719, -83.85063171386719, -83.04935455322266, -82.96446990966797, -82.9453125, -83.00859069824219, -82.59898376464844
200000.0, -83.25769805908203, -83.94359588623047, -83.7727279663086, -83.67395782470703, -83.48472595214844, -83.80165100097656, -83.6117172241211, -83.2444076538086, -83.52127838134766, -83.32971954345703, -83.11624908447266, -83.32425689697266, -83.84556579589844, -83.42849731445312, -83.36318969726562, -83.65388488769531, -82.655517578125, -82.31018829345703, -82.50843811035156, -82.47953796386719, -82.0084228515625
250000.0, -82.5069351196289, -82.62117004394531, -82.6924057006836, -82.5145263671875, -82.68768310546875, -82.51799011230469, -82.32500457763672, -82.36494445800781, -82.1459732055664, -82.46418762207031, -82.5799331665039, -82.71052551269531, -82.79617309570312, -82.3316879272461, -82.3634033203125, -82.44316101074219, -81.46792602539062, -81.35224151611328, -81.36471557617188, -81.25469970703125, -81.0417709350586
300000.0, -84.0927505493164, -84.57125854492188, -84.7642822265625, -84.5433120727539, -84.43772888183594, -84.26322937011719, -84.05000305175781, -83.94763946533203, -84.06251525878906, -84.27661895751953, -83.94453430175781, -84.17694854736328, -84.70519256591797, -84.10453796386719, -84.1355209350586, -84.10663604736328, -83.2587890625, -82.91900634765625, -82.94329833984375, -82.74432373046875, -82.60075378417969
350000.0, -87.41300201416016, -87.85479736328125, -88.0875015258789, -87.63483428955078, -87.69105529785156, -87.4327392578125, -87.12754821777344, -87.42830657958984, -87.2133560180664, -87.37862396240234, -86.94061279296875, -87.21464538574219, -87.92980194091797, -87.05067443847656, -87.02665710449219, -86.79190063476562, -86.04276275634766, -85.67662048339844, -85.60464477539062, -85.44617462158203, -84.94583892822266
400000.0, -89.39678192138672, -90.10474395751953, -90.06095123291016, -89.93974304199219, -89.61882019042969, -89.71833801269531, -89.36488342285156, -89.09977722167969, -89.08902740478516, -89.01689147949219, -88.89988708496094, -89.13823699951172, -90.35618591308594, -88.76891326904297, -88.61564636230469, -88.4410171508789, -87.81852722167969, -87.28132629394531, -87.1827392578125, -86.68148803710938, -86.17576599121094
450000.0, -89.76667785644531, -90.5614013671875, -90.51204681396484, -90.29792785644531, -90.27468872070312, -90.06712341308594, -89.39188385009766, -89.68667602539062, -89.9856948852539, -89.51405334472656, -89.19187927246094, -89.65144348144531, -90.5530014038086, -89.0003433227539, -89.12177276611328, -88.68901824951172, -87.96232604980469, -87.46651458740234, -87.31440734863281, -86.90103149414062, -86.42407989501953
