Timestamp, 2021-09-24 17-42-14

Frequency (Hz), CH 1: PSD for Power 0.9dBm (dBm), CH 1: PSD for Power 0.8078dBm (dBm), CH 1: PSD for Power 0.8072dBm (dBm), CH 1: PSD for Power 0.8058dBm (dBm), CH 1: PSD for Power 0.8048dBm (dBm), CH 1: PSD for Power 0.8042dBm (dBm), CH 1: PSD for Power 0.8037dBm (dBm), CH 1: PSD for Power 0.8022dBm (dBm), CH 1: PSD for Power 0.8012dBm (dBm), CH 1: PSD for Power 0.8dBm (dBm), CH 1: PSD for Power 0.7987dBm (dBm), CH 1: PSD for Power 0.7974dBm (dBm), CH 1: PSD for Power 0.7953dBm (dBm), CH 1: PSD for Power 0.7939dBm (dBm), CH 1: PSD for Power 0.7924dBm (dBm), CH 1: PSD for Power 0.7908dBm (dBm), CH 1: PSD for Power 0.7893dBm (dBm), CH 1: PSD for Power 0.8095dBm (dBm), CH 1: PSD for Power 0.8096dBm (dBm), CH 1: PSD for Power 0.8098dBm (dBm), CH 1: PSD for Power 0.81dBm (dBm)
0.0, -66.98716735839844, -67.01343536376953, -67.16282653808594, -67.07298278808594, -67.18132781982422, -67.25389099121094, -67.2745361328125, -67.0954818725586, -67.21236419677734, -67.35176849365234, -67.18612670898438, -67.12061309814453, -67.19674682617188, -67.32928466796875, -67.45301818847656, -67.64282989501953, -62.61484909057617, -66.44987487792969, -67.1312255859375, -67.18062591552734, -67.29693603515625
50000.0, -74.51725769042969, -74.47132873535156, -74.6874008178711, -74.37198638916016, -74.80229187011719, -74.7907943725586, -74.72920989990234, -74.85546112060547, -75.0026626586914, -74.6804428100586, -75.11408233642578, -74.51372528076172, -74.73689270019531, -74.57816314697266, -74.40199279785156, -73.56068420410156, -66.47265625, -74.14369201660156, -74.9384536743164, -74.63175964355469, -74.45542907714844
100000.0, -80.36653137207031, -80.9418716430664, -80.5378189086914, -80.70994567871094, -80.58826446533203, -80.60128021240234, -80.56722259521484, -80.34109497070312, -80.69580078125, -80.29927062988281, -80.51408386230469, -80.23480987548828, -80.15742492675781, -79.98271942138672, -79.22701263427734, -77.48372650146484, -67.48988342285156, -80.09193420410156, -80.85250854492188, -80.87725830078125, -80.55883026123047
150000.0, -83.61852264404297, -84.0322036743164, -83.91871643066406, -84.17591857910156, -83.86094665527344, -83.78094482421875, -83.93806457519531, -83.69808197021484, -83.81248474121094, -83.3630142211914, -83.52816772460938, -83.02896881103516, -82.90633392333984, -82.3027572631836, -81.54613494873047, -80.33509826660156, -71.57003784179688, -83.66688537597656, -84.25701904296875, -84.10417175292969, -84.21955871582031
200000.0, -84.17695617675781, -84.47145080566406, -84.35084533691406, -84.5344467163086, -84.28346252441406, -84.32344818115234, -84.23609924316406, -84.00506591796875, -83.9277572631836, -83.65925598144531, -83.7271499633789, -83.32633209228516, -83.28109741210938, -82.53772735595703, -81.97465515136719, -81.44197082519531, -77.18366241455078, -84.09751892089844, -84.6181869506836, -84.49211120605469, -84.65084838867188
250000.0, -83.91282653808594, -84.1904525756836, -84.24064636230469, -84.37474822998047, -83.93700408935547, -84.10770416259766, -84.25395202636719, -83.80178833007812, -83.5530776977539, -83.66401672363281, -83.49751281738281, -83.18156433105469, -82.90162658691406, -82.3080825805664, -81.8874740600586, -81.424560546875, -79.09703063964844, -83.98124694824219, -84.53297424316406, -84.514404296875, -84.54664611816406
300000.0, -85.86125183105469, -85.95842742919922, -85.98709869384766, -86.22139739990234, -85.7269058227539, -85.68110656738281, -85.88630676269531, -85.31208801269531, -85.16857147216797, -85.1270523071289, -84.75244903564453, -84.41035461425781, -84.19941711425781, -83.53645324707031, -82.78652954101562, -82.44255065917969, -80.50575256347656, -85.94615173339844, -86.3495101928711, -86.31863403320312, -86.61310577392578
350000.0, -87.78594207763672, -87.92909240722656, -87.68251037597656, -88.03154754638672, -87.47257232666016, -87.4566421508789, -87.54791259765625, -86.94290924072266, -86.97769165039062, -86.44847106933594, -86.2437515258789, -85.66071319580078, -85.111572265625, -84.3958511352539, -83.95223236083984, -83.23887634277344, -81.40620422363281, -87.85950469970703, -88.1485595703125, -88.30934143066406, -88.69896697998047
400000.0, -89.1511459350586, -89.10113525390625, -89.07113647460938, -89.13143157958984, -88.5005874633789, -88.4237289428711, -88.63663482666016, -87.75738525390625, -88.01888275146484, -87.18132781982422, -87.00566101074219, -86.4945297241211, -85.9188232421875, -85.27748107910156, -84.15673065185547, -83.69113159179688, -82.07279968261719, -89.01152801513672, -89.75694274902344, -89.3825912475586, -89.88819885253906
450000.0, -89.49886322021484, -89.68284606933594, -89.90457916259766, -89.40223693847656, -88.92680358886719, -88.8305892944336, -89.05699157714844, -88.2686767578125, -88.38169860839844, -87.69733428955078, -87.38768005371094, -86.83970642089844, -85.94743347167969, -85.40351104736328, -84.59076690673828, -83.94114685058594, -82.38606262207031, -89.5593032836914, -90.08981323242188, -90.11582946777344, -90.3520736694336
500000.0, -89.56254577636719, -89.86451721191406, -89.53767395019531, -89.71501159667969, -88.99412536621094, -89.03050231933594, -88.97174072265625, -88.14173126220703, -88.32405853271484, -87.85704803466797, -87.31639862060547, -86.72760009765625, -86.05009460449219, -85.40338897705078, -84.53975677490234, -83.80537414550781, -82.46763610839844, -89.66248321533203, -90.4432601928711, -90.4273452758789, -90.28641510009766
