Frequency,Plus,Minus
0,-34.93125669,-34.81016561
150000,-36.35919883,-36.2395106
300000,-43.83523233,-43.71047953
450000,-59.27658979,-59.14727429
600000,-88.15373368,-87.11308661
750000,-88.84040658,-88.39130717
900000,-88.70937356,-87.64588086
1050000,-88.64466267,-88.43934135
1200000,-89.3918177,-88.42324022
1350000,-89.89876145,-89.70351651
1500000,-89.65768293,-89.48760521
1650000,-90.74373613,-89.90682287
1800000,-90.10672308,-90.07226167
1950000,-90.41955973,-89.81212034
2100000,-90.72811548,-90.63153522
2250000,-91.02794655,-90.52369881
2400000,-91.22032244,-90.94556656
2550000,-90.89324693,-90.97512451
2700000,-91.56486284,-90.8670699
2850000,-91.3300185,-91.50021815
3000000,-91.40070887,-91.17879313
3150000,-91.84478649,-91.13819536
3300000,-91.81104621,-91.65797373
3450000,-91.29995023,-91.72051768
3600000,-91.93387996,-92.04375974
3750000,-91.3468349,-91.58076571
3900000,-91.4478826,-91.38856398
4050000,-91.59582627,-92.10788256
4200000,-91.67649153,-92.21963563
4350000,-91.78623288,-91.74816397
4500000,-90.87710697,-91.58695454
4650000,-89.85618807,-91.61611877
4800000,-88.88003861,-91.63536861
4950000,-89.13755254,-92.05619083
5100000,-90.04572607,-91.64307008
5250000,-90.41706971,-91.91788232
5400000,-91.32140242,-91.96110744
5550000,-91.43534842,-91.82381875
5700000,-91.33133455,-92.24050203
5850000,-91.51259768,-91.69562084
6000000,-91.32288688,-91.68504171
6150000,-91.64892766,-91.82096497
6300000,-91.72977192,-91.92634819
6450000,-91.39596814,-91.65351142
6600000,-91.90876057,-91.8652
6750000,-91.47487953,-91.87870146
6900000,-91.25392212,-91.49369371
7050000,-92.13785316,-91.70726588
7200000,-91.54010334,-91.31791193
7350000,-91.78221125,-91.67264768
7500000,-91.50655314,-91.66293995
7650000,-92.02780322,-91.6908317
7800000,-91.59988619,-91.58627749
7950000,-91.36275085,-91.71448527
8100000,-91.93108034,-91.32176077
8250000,-91.37923601,-91.19216242
8400000,-91.3710628,-91.72872547
8550000,-91.56540119,-91.61641148
8700000,-91.34282239,-91.63726345
8850000,-91.61079588,-91.3741224
9000000,-91.41142777,-91.87801715
9150000,-91.53914606,-91.9149359
9300000,-91.64216133,-91.89624551
9450000,-91.93769271,-91.4846414
9600000,-91.78064505,-91.64782286
